# E fE1+fM1 fE1 fM1 fE2
1.000000000000000056e-01 4.851444977461086447e-06 2.552445419737625008e-09 4.848107858009708406e-06 7.846740316398094667e-10
1.497487437185929804e-01 1.699886986492108390e-06 2.563514716506784744e-09 1.696799414182305623e-06 5.240575932960289137e-10
1.994974874371859275e-01 8.078708232942293497e-07 2.574606348762777416e-09 8.049027766924851413e-07 3.934402529814450443e-10
2.492462311557789023e-01 4.540889241123108244e-07 2.585727749126382326e-09 4.511882165431629936e-07 3.149798200214044425e-10
2.989949748743718771e-01 2.839752194649908600e-07 2.596886360861651743e-09 2.811156914220860516e-07 2.626416820431598146e-10
3.487437185929648242e-01 1.912520397382709060e-07 2.608089640541454113e-09 1.884187033839010298e-07 2.252467138284217519e-10
3.984924623115577713e-01 1.360431698693724886e-07 2.619345060720639723e-09 1.332266265025083036e-07 1.971983061435633662e-10
4.482412060301508294e-01 1.009383061459416710e-07 2.630660112618351686e-09 9.813226158844457689e-08 1.753844448787446473e-10
4.979899497487437765e-01 7.745308945768537643e-08 2.642042308811038154e-09 7.465311048180328781e-08 1.579366670710538013e-10
5.477386934673367236e-01 6.109240001918524051e-08 2.653499185937698949e-09 5.829523550428048184e-08 1.436653289670605742e-10
5.974874371859296707e-01 4.931247592318171974e-08 2.665038307418951489e-09 4.651566061318996936e-08 1.317770025727973427e-10
6.472361809045226178e-01 4.059497203358126132e-08 2.676667266191467375e-09 3.779658256409131556e-08 1.217222032984807111e-10
6.969849246231155648e-01 3.399275891522000709e-08 2.688393687459374467e-09 3.119125689762693993e-08 1.131083301336964558e-10
7.467336683417085119e-01 2.889271207617533746e-08 2.700225231464232045e-09 2.608683943839278314e-08 1.056474063183224613e-10
7.964824120603015700e-01 2.488517252258231648e-08 2.712169596275181331e-09 2.207387952140901513e-08 9.912340489812107245e-11
8.462311557788945171e-01 2.168885034757631875e-08 2.724234520600917851e-09 1.887124472738585330e-08 9.337109958954566291e-11
8.959798994974874642e-01 1.910594422344456295e-08 2.736427786625125961e-09 1.628125447541658799e-08 8.826196140284779107e-11
9.457286432160804113e-01 1.699441524221219779e-08 2.748757222867055929e-09 1.416196351274806387e-08 8.369450659707965928e-11
9.954773869346733584e-01 1.525035288164905029e-08 2.761230707068935178e-09 1.240953463579282689e-08 7.958753878728750796e-11
