# M. Guttormsen et al., Phys. Rev. C71, 044307 (2005)
#   No    Eg(MeV)    f(MeV**-3)    df(MeV**-3)
   1      1.175      0.140E-07      0.495E-09
   2      1.444      0.569E-08      0.352E-09
   3      1.713      0.708E-08      0.297E-09
   4      1.982      0.645E-08      0.220E-09
   5      2.251      0.546E-08      0.228E-09
   6      2.520      0.427E-08      0.188E-09
   7      2.789      0.367E-08      0.190E-09
   8      3.058      0.369E-08      0.202E-09
   9      3.327      0.400E-08      0.175E-09
  10      3.596      0.415E-08      0.220E-09
  11      3.865      0.477E-08      0.240E-09
  12      4.134      0.539E-08      0.295E-09
  13      4.403      0.554E-08      0.320E-09
  14      4.672      0.520E-08      0.413E-09
  15      4.941      0.618E-08      0.458E-09
  16      5.210      0.673E-08      0.688E-09
  17      5.479      0.940E-08      0.810E-09
  18      5.748      0.104E-07      0.103E-08
  19      6.017      0.954E-08      0.111E-08
  20      6.286      0.118E-07      0.146E-08
  21      6.555      0.120E-07      0.227E-08
  22      6.824      0.846E-08      0.291E-08
  23      7.093      0.694E-08      0.306E-08
  24      7.362      0.218E-08      0.338E-08
