# rhomo95he4
# R. Chankova et al., Phys. Rev. C73, 034311 (2006)
#   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1    .098000      0.296E+01      0.264E+00
   2    .367200      0.850E+01      0.279E+00
   3    .636400      0.963E+01      0.484E+00
   4    .905600      0.116E+02      0.604E+00
   5   1.174800      0.236E+02      0.730E+00
   6   1.444000      0.220E+02      0.138E+01
   7   1.713200      0.275E+02      0.123E+01
   8   1.982400      0.481E+02      0.194E+01
   9   2.251600      0.665E+02      0.309E+01
  10   2.520800      0.102E+03      0.362E+01
  11   2.790000      0.141E+03      0.683E+01
  12   3.059200      0.198E+03      0.963E+01
  13   3.328400      0.234E+03      0.171E+02
  14   3.597600      0.341E+03      0.227E+02
  15   3.866800      0.451E+03      0.324E+02
  16   4.136000      0.640E+03      0.455E+02
  17   4.405200      0.103E+04      0.719E+02
  18   4.674400      0.140E+04      0.109E+03
  19   4.943600      0.185E+04      0.140E+03
  20   5.212800      0.239E+04      0.212E+03
  21   5.482000      0.282E+04      0.334E+03
  22   5.751200      0.359E+04      0.748E+03
  23   6.020400      0.316E+04      0.119E+04
  24   6.289600      0.292E+04      0.159E+04
